,title,agency,date,status,purpose,period_covered,link,reason_denial
180,"SALN of Mr. Paolo Benigno Aquino IV, Ms. Imee Marcos, Ms. Pia Cayetano, and Mr. Lorenzo Tañada",DILG,2018-04-13,DENIED,Profiling of potential senatorial candidates for the 2019 elections,01/01/1998 - 04/13/2018,,wrong-agency
181,"SALN of Mr. Karlo Nograles, Mr. Harry Roque, Mr. Paolo Benigno Aquino IV, and Ms. Imee Marcos",DILG,2018-04-13,DENIED,Profiling of potential senatorial candidates for the 2019 elections,01/01/1998 - 04/13/2018,,wrong-agency
182,"Statement of Assets, Liabilities, and Net Worth (SALN)",OSG,2018-04-23,DENIED,Assignment in Human Rights Law,04/23/2018 - 04/23/2018,,wrong-agency
183,UP HRD report on Justice Marvic Leonen's SALNS.,CHED,2018-05-14,DENIED,For my column at the Manla Times,10/30/2012 - 10/30/2012,,wrong-agency
184,SALN (Statements of Assets and Liabilities and Network),GCG,2018-05-17,DENIED,Required for submission to PACC and Plunder case filed to the Ombudsman OMB-C-C-17-0152/OMB-C-A-012,01/01/2014 - 12/31/2017,,wrong-agency
185,Summary of SALNs,PCOO,2018-05-28,DENIED,Research and reporting,01/01/2017 - 12/31/2017,,wrong-agency
186,SALN of Ligid-Tipas Barangay Council,DILG,2018-06-26,DENIED,Transparency and review as a barangay constituent,06/01/2006 - 06/26/2018,,wrong-agency
187,SALN of BOC personnel,BOC,2018-06-27,DENIED,Transparency and review.,01/01/2000 - 06/27/2018,,incomplete-request
188,"SALN of Public officials in the local government of the Municipality of Mabinay, Negros Oriental",DILG,2018-09-13,DENIED,media reporting for transparency of all public officials,01/01/2017 - 12/31/2017,,wrong-agency
189,"Statement of Assets, Liabilities and Networth (SALN)",DOE,2018-09-21,DENIED,record purposes,01/01/2017 - 12/31/2017,,wrong-agency
190,"Statement of Assets, Liabilities and Networth (SALN)",DOE,2018-09-21,DENIED,general inquiry and record purposes,01/01/2017 - 12/31/2017,,wrong-agency
191,"Statement of Assets, Liabilities and Networth (SALN)",OVP,2021-10-29,AWAITING CLARIFICATION,Transparency and Research,01/29/2020 - 01/29/2021,,—
198,SALN of Virgilio S. Almario and Puricacion G Delima,KWF,2019-01-11,CLOSED,Legal Research,Invalid date - 01/11/2019,,—
199,"Statement of Asset, Liability and Net worth (SALN)",DILG,2019-03-13,DENIED,Research,03/13/2017 - 03/13/2019,,wrong-agency
200,"Secretary Bello SALN, PDS, and CV",DOLE,2019-09-05,DENIED,Public interest,01/01/2018 - 09/05/2019,,—
201,"Manuel Campasas Roldan - SALN, PDS, CV",DOLE,2019-09-05,DENIED,Public interest,01/01/2018 - 09/05/2019,,—
202,"Claro A. Arellano SALN, PDS, CV",DOLE,2019-09-05,DENIED,Public interest,01/01/2018 - 09/05/2019,,—
203,"OIC Antonio Villafuerte - SALN, PDS, CV",DOLE,2019-09-05,DENIED,Public interest,01/01/2018 - 09/05/2019,,—
204,SALN of all PCOO officials,PCOO,2019-09-23,DENIED,Research and news writing.,06/30/2016 - 06/30/2019,,wrong-agency
205,SALN of Tourism Secretary Bernadette Romulo-Puyat,DOT,2019-10-01,SUCCESSFUL,Research and Project,01/01/2019 - 10/01/2019,,—
206,"Statement of Assets, Liabilities, and Net Worth (SALN) of President Rodrigo Roa Duterte",PCOO,2019-11-12,DENIED,R2KRN Freedom of Information Practice,01/01/2016 - 12/31/2018,,wrong-agency
207,SALNs of President Duterte's Cabinet members,PCOO,2020-09-16,DENIED,Research and FOI Practice,01/01/2018 - 12/31/2019,,wrong-agency
208,SALN of VP Robredo,OVP,2020-09-18,CLOSED,Freedom of Information,01/01/2019 - 12/31/2019,,—
209,"Statements of Assets, Liabilities and Net Worth (SALN) of Mayor Vico Sotto",USAP,2021-01-13,DENIED,Research,01/01/2016 - 01/13/2021,,wrong-agency
210,"Statements of Assets, Liabilities and Net Worth (SALN) of President Rodrigo Duterte",PMS,2021-01-13,DENIED,Research,01/01/2016 - 12/31/2020,,—
211,Certified True Copy of SALN and PDS of LYNDON CABIGON CIELO,DILG,2021-01-20,PARTIALLY SUCCESSFUL,Requirements for the attachment on the correction of entry of sons' birth certificate,01/01/1995 - 01/01/2005,,—
212,SALN of Mayor Edwin Santos,DILG,2021-04-14,DENIED,Freedom of Information,01/01/2010 - 04/13/2021,,wrong-agency
213,2015 and 2016 SALN of Jamail A. Marohomsalic,BOC,2021-06-15,DENIED,For a civil case before 13th Sharia Circuit Court for adjudication and division of property upon div,12/31/2015 - 12/31/2017,,invalid-request
214,SALN of former PS-DBM executive director Lloyd Christopher Lao,PSDBM,2021-09-09,PENDING,Research and reportage,12/31/2019 - 06/30/2020,,—
215,SALN Request,OVP,2021-09-10,PENDING,Research and Publication,01/01/2020 - 12/31/2020,,—
216,SALN Request,OVP,2021-10-29,AWAITING CLARIFICATION,Research and academic purposes,01/01/2020 - 12/31/2020,,—
217,SALN Request,OVP,2021-10-29,AWAITING CLARIFICATION,Research and Publication,01/01/2020 - 10/29/2021,,—
218,SALN Request,OVP,2021-10-29,DENIED,Research Purposes,01/01/2020 - 01/01/2021,,invalid-request
219,SALN Request,OVP,2021-10-30,DENIED,Research,01/01/2020 - 01/01/2021,,—
220,SALN Request,OVP,2021-10-30,AWAITING CLARIFICATION,For transparency,07/01/2016 - 10/01/2021,,—
221,SALN Request,OVP,2021-11-01,SUCCESSFUL,Research,01/01/2020 - 12/31/2020,,—
222,SALN Request,OVP,2022-01-25,PENDING,Research and Publication,01/01/2020 - 12/31/2020,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC0yMjM4ODA3MTE4OTcM,
223,SALN Request,OVP,2022-03-01,PENDING,Research,01/01/2013 - 03/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC01OTEzMzExMjY3NTYM,
296,SALN of the City councilors and the mayor of Zamboanga City,DILG,2021-09-11,PENDING,Research and Development,01/01/2016 - 12/31/2020,,—
297,SALN of Secretary Bernadette Romulo-Puyat,DOT,2021-09-24,AWAITING CLARIFICATION,Research and Development,01/01/2018 - 12/31/2020,,—
298,SALN of Secretary Bernadette Romulo-Puyat,DOT,2021-09-28,SUCCESSFUL,Research and other academic purposes,01/01/2018 - 12/31/2020,,—
301,SALN of Agrarian Reform Secretary John Castriciones,DAR,2021-09-25,AWAITING CLARIFICATION,Research and Development,01/01/2018 - 01/01/2021,,—
302,SALN of Vice President Leni Robredo,OVP,2021-09-25,PENDING,Research and Development,01/01/2018 - 01/01/2021,,—
303,SALN of Vice President Leni Robredo,OVP,2021-09-27,PENDING,Research and development,01/01/2016 - 01/01/2021,,—
304,SALN of Vice President Leni Robredo,OVP,2021-11-15,AWAITING CLARIFICATION,Research Paper Essay,01/01/2020 - 12/31/2020,,—
305,SALN of Vice President Leni Robredo,OVP,2022-01-25,PENDING,Research,01/01/2016 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC00MDYwOTcyMTYwODgM,
306,SALN of Vice President Leni Robredo,OVP,2022-05-12,PENDING,For our transparency research in our class in UP Diliman NCPAG,05/01/2022 - 05/12/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC02NzE0Nzk1MjI1NTIM,
327,SALN of Department of Budget and Management Secretary Wendel E. Avisado,DBM,2021-09-27,DENIED,Research and development,01/01/2019 - 01/01/2021,,wrong-agency
328,SALN of Department of National Defense Secretary Delfin N. Lorenzana,DND,2021-09-27,DENIED,Research and development,01/01/2018 - 01/01/2021,,invalid-request
329,SALNs of Duterte Administration Cabinet Members,PCOO,2021-09-27,DENIED,Research and development,01/01/2016 - 01/01/2021,,wrong-agency
330,SALN of Department of Tourism Secretary Bernadette Romulo Puyat,DOT,2021-09-27,SUCCESSFUL,Research and development,01/01/2018 - 01/01/2021,,—
331,SALN of Agrarian Reform John R. Castriciones,DAR,2021-09-27,AWAITING CLARIFICATION,Research and development,01/01/2017 - 01/01/2021,,—
